cluster_5_nome_ale,annotazioni_parsate,count
PeggioranoLeNostreCondizioniDiVita,preferisce migranti,2
PeggioranoLeNostreCondizioniDiVita,preferiscono immigrati,2
PeggioranoLeNostreCondizioniDiVita,proteggono stranieri,2
PeggioranoLeNostreCondizioniDiVita,ricevono trattamento,3
PeggioranoLeNostreCondizioniDiVita,rubano lavoro,6
PeggioranoLeNostreCondizioniDiVita,sono avvantaggiati,9
PeggioranoLeNostreCondizioniDiVita,sono fardello,53
PeggioranoLeNostreCondizioniDiVita,sono invasori,72
PeggioranoLeNostreCondizioniDiVita,sono invasori sono,2
PeggioranoLeNostreCondizioniDiVita,sono mantenuti,9
PeggioranoLeNostreCondizioniDiVita,sono parassiti,153
PeggioranoLeNostreCondizioniDiVita,sono peso,22
PeggioranoLeNostreCondizioniDiVita,sono protetti,5
PeggioranoLeNostreCondizioniDiVita,sono troppi,12
PeggioranoLeNostreCondizioniDiVita,sono vittime,8
PeggioranoLeNostreCondizioniDiVita,sostituiscono italiani,2
PeggioranoLeNostreCondizioniDiVita,stanno da parte di,2
PeggioranoLeNostreCondizioniDiVita,tolgono case,15
PeggioranoLeNostreCondizioniDiVita,tutela migranti,7
PeggioranoLeNostreCondizioniDiVita,tutela rom,6
PeggioranoLeNostreCondizioniDiVita,tutela stranieri,6
PeggioranoLeNostreCondizioniDiVita,tutelano stranieri,2
PeggioranoLeNostreCondizioniDiVita,vanno affrontati,9
PeggioranoLeNostreCondizioniDiVita,vanno cacciati,20
PeggioranoLeNostreCondizioniDiVita,vanno contrastati,13
PeggioranoLeNostreCondizioniDiVita,vivono a spalle di,3
PeggioranoLeNostreCondizioniDiVita,vogliono convertire,4
PeggioranoLeNostreCondizioniDiVita,è incontrollata,6
PortanoDegrado,danneggiano ambiente,3
PortanoDegrado,deturpano città,4
PortanoDegrado,fanno figli,2
PortanoDegrado,inquinano,12
PortanoDegrado,non hanno cura,5
PortanoDegrado,non prendono cura,2
PortanoDegrado,portano degrado,13
PortanoDegrado,portano insicurezza,2
PortanoDegrado,rovinando italia,2
PortanoDegrado,rovinano ambiente,5
PortanoDegrado,rovinano italia,19
PortanoDegrado,rovinato economia,2
PortanoDegrado,sono feccia,27
PortanoDegrado,sono mendicanti,9
PortanoDegrado,sono portatori,2
PortanoDegrado,sono spacciatori,9
PortanoDegrado,sono sporchi,31
PortanoDegrado,sono stupidi,2
PortanoDegrado,sono vandali,4
PortanoDegrado,vivono in degrado,2
SonoPericolosi,coprono crimini,2
SonoPericolosi,drogano,3
SonoPericolosi,eludono fisco,3
SonoPericolosi,ingannano italiani,43
SonoPericolosi,maltrattano bambini,10
SonoPericolosi,maltrattano deboli,32
SonoPericolosi,maltrattano italiani,2
SonoPericolosi,maltrattano minori,2
SonoPericolosi,meritano pene,2
SonoPericolosi,odiano italiani,4
SonoPericolosi,portano malattie,39
SonoPericolosi,prostituiscono,2
SonoPericolosi,religione a misoginia,2
SonoPericolosi,religione a pedofilia,4
SonoPericolosi,religione a violenza,35
SonoPericolosi,religione a violenza contro,4
SonoPericolosi,sono abusivi,4
SonoPericolosi,sono aggressivi,3
SonoPericolosi,sono animali,48
SonoPericolosi,sono assassini,15
SonoPericolosi,sono clandestini,20
SonoPericolosi,sono criminali,168
SonoPericolosi,sono delinquenti,91
SonoPericolosi,sono dissoluti,2
SonoPericolosi,sono fanatici,3
SonoPericolosi,sono illegali,2
SonoPericolosi,sono irregolari,53
SonoPericolosi,sono ladri,202
SonoPericolosi,sono mafiosi,4
SonoPericolosi,sono minaccia,39
SonoPericolosi,sono pedofili,10
SonoPericolosi,sono pericolo,21
SonoPericolosi,sono pericolosi,52
SonoPericolosi,sono problema,2
SonoPericolosi,sono stupratori,33
SonoPericolosi,sono terroristi,85
SonoPericolosi,sono truffatori,68
SonoPericolosi,sono violente,4
SonoPericolosi,sono violenti,111
SonoPericolosi,spacciano,29
SonoPericolosi,stuprano,33
SonoPericolosi,stuprano donne,2
SonoPericolosi,tutela crimini,6
SonoPericolosi,vanno puniti,4
SonoPericolosi,è illegale,3
SonoPericolosi,è minaccia,25
SonoPericolosi,è pericolo,6
