stereotipi,occorrenze,cluster N=10,cluster N=5,"COPPIE DI CLUSTER ALE:
---
2 FannoQuelloCheVogliono/PretendonoCose
2 SonoFannulloni
---
SonoPericolosi
SonoCriminali
---
HannoScarsaIgiene
PortanoDegrado
---
PesanoSulleNostreSpalle
Ci_Invadono
----
5 SonoDiversiDaNoi
5 HannoCulturaDiversa/SonoAnimali"
sono maschi,4,None/Doubt,None/Doubt,
aiutano rom,3,None/Doubt,None/Doubt,
è controllo,3,None/Doubt,None/Doubt,
lucra su migranti,3,None/Doubt,None/Doubt,
lucrano su immigrati,3,None/Doubt,None/Doubt,
sono persone,2,None/Doubt,None/Doubt,
sfrutta immigrati,2,None/Doubt,None/Doubt,
non ricchezza,2,None/Doubt,None/Doubt,
non necessaria,2,None/Doubt,None/Doubt,
migranti senza,2,None/Doubt,None/Doubt,
incita,2,None/Doubt,None/Doubt,
immigrati,2,None/Doubt,None/Doubt,
guadagna da business di,2,None/Doubt,None/Doubt,
è sicura,2,None/Doubt,None/Doubt,
è colpa,2,None/Doubt,None/Doubt,
aiuta rom,2,None/Doubt,None/Doubt,
*,2,None/Doubt,None/Doubt,
sono parassiti,153,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
sono invasori,72,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
invadendo italia,50,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
invadere italia,32,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
favorisce immigrazione,21,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
vanno cacciati,20,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
vanno contrastati,13,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
sono troppi,12,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
invaso italia,10,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
vanno affrontati,9,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
favoriscono immigrazione,9,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
conquistare italia,6,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
è incontrollata,6,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
convertire stati,5,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
invadono italia,5,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
invadere europa,5,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
minacciano cultura,5,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
invadendo europa,4,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
vogliono convertire,4,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
non benvoluti,3,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
sono invasori sono,2,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
sostituiscono italiani,2,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
non cittadini,2,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
imporre dittatura,2,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
convertire italia,2,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
conquistare occidente,2,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
conquistare europa,2,Ci_Invadono,PeggioranoLeNostreCondizioniDiVita,
sono fardello,53,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
sono peso,22,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
tolgono case,15,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
avvantaggia migranti,9,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
avvantaggia rom,9,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
sono mantenuti,9,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
sono avvantaggiati,9,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
limita libertà,8,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
sono vittime,8,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
tutela migranti,7,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
difende rom,6,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
tutela rom,6,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
tutela stranieri,6,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
rubano lavoro,6,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
difendono migranti,5,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
mantengono immigrati,5,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
non beneficio,5,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
non hanno casa,5,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
non meritano aiuto,5,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
sono protetti,5,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
difende migranti,3,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
difende mussulmani,3,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
mantengono migranti,3,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
mantengono rom,3,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
favorisce mussulmani,3,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
hanno problemi,3,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
non meritano,3,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
ricevono trattamento,3,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
vivono a spalle di,3,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
tutelano stranieri,2,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
stanno da parte di,2,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
avvantaggia stranieri,2,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
proteggono stranieri,2,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
preferiscono immigrati,2,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
preferisce migranti,2,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
preferisce immigrati,2,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
non hanno competenze,2,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
mantengono stranieri,2,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
mantengono nomadi,2,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
incentivano migranti,2,PesanoSulleNostreSpalle,PeggioranoLeNostreCondizioniDiVita,
vogliono matenuti,1,X,X,
vogliono lavorare,1,X,X,
vogliono ius,1,X,X,
vogliono far,1,X,X,
vivono tutti,1,X,X,
vivono in degrato,1,X,X,
vivono in campi,1,X,X,
violentano donne,1,X,X,
viola libertà,1,X,X,
viaggiano biglietto,1,X,X,
vengono rispettati,1,X,X,
vengono in italia,1,X,X,
vengono graziati,1,X,X,
vengono colpevolizzate,1,X,X,
vanno punite,1,X,X,
vanno educati,1,X,X,
vanno combattuti,1,X,X,
vanno cacciati vanno,1,X,X,
va bandito,1,X,X,
usano rom,1,X,X,
uccidono mercato,1,X,X,
tutelano rom,1,X,X,
tutelano migranti,1,X,X,
tutela per,1,X,X,
tutela afrodiscententi,1,X,X,
tutela a di,1,X,X,
treno non sicuro,1,X,X,
trattano migranti,1,X,X,
tratta migranti,1,X,X,
tolto soldi,1,X,X,
tolgono lavoro,1,X,X,
subisce sostituzione,1,X,X,
stranieri in,1,X,X,
stermina civiltà,1,X,X,
sprecano soldi,1,X,X,
sprecano cibo,1,X,X,
sporcano,1,X,X,
speculano su immigrati,1,X,X,
sottomettere europa,1,X,X,
sottomettere culture,1,X,X,
sono violenti sono,1,X,X,
sono violentatori,1,X,X,
sono valori,1,X,X,
sono vacanzieri,1,X,X,
sono uguali,1,X,X,
sono trafficanti,1,X,X,
sono traditori,1,X,X,
sono terrroristi,1,X,X,
sono terroristi sono,1,X,X,
sono terroriste,1,X,X,
sono superdotati,1,X,X,
sono squilibrati,1,X,X,
sono sporchi sono,1,X,X,
sono spazzatura,1,X,X,
sono società,1,X,X,
sono sfruttati,1,X,X,
sono scansafatiche,1,X,X,
sono sanguinari,1,X,X,
sono romeni,1,X,X,
sono rifiuti,1,X,X,
sono ricchi,1,X,X,
sono razzisti,1,X,X,
sono radicali,1,X,X,
sono quelli,1,X,X,
sono punizione,1,X,X,
sono prostitute,1,X,X,
sono profani,1,X,X,
sono poveri,1,X,X,
sono povere,1,X,X,
sono piaga,1,X,X,
sono permalosi,1,X,X,
sono peggio,1,X,X,
sono pacchi,1,X,X,
sono ottusi,1,X,X,
sono ostili,1,X,X,
sono oggetti,1,X,X,
sono nemici,1,X,X,
sono nazisti,1,X,X,
sono muscolosi,1,X,X,
sono mostri,1,X,X,
sono molestatori,1,X,X,
sono maltrattati,1,X,X,
sono malati,1,X,X,
sono lotta,1,X,X,
sono loschi,1,X,X,
sono lascive,1,X,X,
sono laicità,1,X,X,
sono irrispettosi,1,X,X,
sono irriconoscenti,1,X,X,
sono invidiosi,1,X,X,
sono ingannatori,1,X,X,
sono immigrati,1,X,X,
sono ignobili,1,X,X,
sono giungla,1,X,X,
sono galeotti,1,X,X,
sono forti,1,X,X,
sono forma,1,X,X,
sono fingono,1,X,X,
sono fastidiosi,1,X,X,
sono fascisti,1,X,X,
sono esseri,1,X,X,
sono esigenti,1,X,X,
sono drogati,1,X,X,
sono diversi,1,X,X,
sono dittatoriali,1,X,X,
sono dittatori,1,X,X,
sono disonesti,1,X,X,
sono difesi,1,X,X,
sono determinati,1,X,X,
sono delinquenti sono,1,X,X,
